survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,age_fill_mean,fare_log
0,3,female,28.0,0,0,7.8958,S,Third,woman,False,,Southampton,no,True,28.0,2.1855792552411137
0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,28.0,2.1855792552411137
0,1,male,21.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,21.0,4.360387947851531
0,3,male,33.0,0,0,8.6542,S,Third,man,True,,Southampton,no,True,33.0,2.267393053825037
0,3,male,37.0,2,0,7.925,S,Third,man,True,,Southampton,no,False,37.0,2.188856327665703
0,3,male,28.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,28.0,2.1855792552411137
1,3,female,21.0,0,0,7.65,S,Third,woman,False,,Southampton,yes,True,21.0,2.157559320943788
1,3,male,,0,0,7.775,S,Third,man,True,,Southampton,yes,True,28.0,2.1719067693519296
0,3,male,38.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,38.0,2.1855792552411137
1,3,female,,1,0,24.15,Q,Third,woman,False,,Queenstown,yes,False,28.0,3.224857896545748
0,1,male,47.0,0,0,52.0,S,First,man,True,C,Southampton,no,True,47.0,3.970291913552122
0,3,female,14.5,1,0,14.4542,C,Third,child,False,,Cherbourg,no,False,14.5,2.737880811060884
0,3,male,22.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,22.0,2.2027647577118348
0,3,female,20.0,1,0,9.825,S,Third,woman,False,,Southampton,no,False,20.0,2.3818582738885534
0,3,female,17.0,0,0,14.4583,C,Third,woman,False,,Cherbourg,no,True,17.0,2.738146075922933
0,3,male,21.0,0,0,7.925,S,Third,man,True,,Southampton,no,True,21.0,2.188856327665703
0,3,male,70.5,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,70.5,2.169053700369523
0,2,male,29.0,1,0,21.0,S,Second,man,True,,Southampton,no,False,29.0,3.091042453358316
0,1,male,24.0,0,1,247.5208,C,First,man,True,B,Cherbourg,no,False,24.0,5.515526544247129
0,3,female,2.0,4,2,31.275,S,Third,child,False,,Southampton,no,False,2.0,3.4742929367327062
0,2,male,21.0,2,0,73.5,S,Second,man,True,,Southampton,no,False,21.0,4.310799125385514
0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,28.0,2.2027647577118348
0,2,male,32.5,1,0,30.0708,C,Second,man,True,,Cherbourg,no,False,32.5,3.436268471383741
1,2,female,32.5,0,0,13.0,S,Second,woman,False,E,Southampton,yes,True,32.5,2.639057329615259
0,1,male,54.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,54.0,4.360387947851531
1,3,male,12.0,1,0,11.2417,C,Third,child,False,,Cherbourg,yes,False,12.0,2.5048481563289
0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,28.0,2.169053700369523
1,3,male,24.0,0,0,7.1417,S,Third,man,True,,Southampton,yes,True,24.0,2.0969990034181696
1,3,female,,1,1,22.3583,C,Third,woman,False,F,Cherbourg,yes,False,28.0,3.1509523813392697
0,3,male,45.0,0,0,6.975,S,Third,man,True,,Southampton,no,True,45.0,2.076311648670908
0,3,male,33.0,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True,33.0,2.1855792552411137
0,3,male,20.0,0,0,7.05,S,Third,man,True,,Southampton,no,True,20.0,2.085672091430472
0,3,female,47.0,1,0,14.5,S,Third,woman,False,,Southampton,no,False,47.0,2.740840023925201
1,2,female,29.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,29.0,3.295836866004329
0,2,male,25.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,25.0,2.639057329615259
0,2,male,23.0,0,0,15.0458,C,Second,man,True,,Cherbourg,no,True,23.0,2.775447133088262
1,1,female,19.0,0,2,26.2833,S,First,woman,False,D,Southampton,yes,False,19.0,3.3062747934011893
0,1,male,37.0,1,0,53.1,S,First,man,True,C,Southampton,no,False,37.0,3.9908341858524357
0,3,male,16.0,0,0,9.2167,S,Third,man,True,,Southampton,no,True,16.0,2.3240236363515288
0,1,male,24.0,0,0,79.2,C,First,man,True,B,Cherbourg,no,True,24.0,4.384523514872469
0,3,female,,0,2,15.2458,C,Third,woman,False,,Cherbourg,no,False,28.0,2.7878344138303452
1,3,female,22.0,0,0,7.75,S,Third,woman,False,,Southampton,yes,True,22.0,2.169053700369523
1,3,female,24.0,1,0,15.85,S,Third,woman,False,,Southampton,yes,False,24.0,2.8243506567983707
0,3,male,19.0,0,0,6.75,Q,Third,man,True,,Queenstown,no,True,19.0,2.0476928433652555
0,2,male,18.0,0,0,11.5,S,Second,man,True,,Southampton,no,True,18.0,2.5257286443082556
0,2,male,19.0,1,1,36.75,S,Second,man,True,,Southampton,no,False,19.0,3.6309854756950335
1,3,male,27.0,0,0,7.7958,S,Third,man,True,,Southampton,yes,True,27.0,2.174274334826008
0,3,female,9.0,2,2,34.375,S,Third,child,False,,Southampton,no,False,9.0,3.5660053559634015
0,2,male,36.5,0,2,26.0,S,Second,man,True,F,Southampton,no,False,36.5,3.295836866004329
0,2,male,42.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,42.0,2.639057329615259
0,2,male,51.0,0,0,12.525,S,Second,man,True,,Southampton,no,True,51.0,2.6045398247325453
1,1,female,22.0,1,0,66.6,S,First,woman,False,C,Southampton,yes,False,22.0,4.213607983048918
0,3,male,55.5,0,0,8.05,S,Third,man,True,,Southampton,no,True,55.5,2.2027647577118348
0,3,male,40.5,0,2,14.5,S,Third,man,True,,Southampton,no,False,40.5,2.740840023925201
0,3,male,,0,0,7.3125,S,Third,man,True,,Southampton,no,True,28.0,2.1177604059819726
0,1,male,51.0,0,1,61.3792,C,First,man,True,,Cherbourg,no,False,51.0,4.133231886474144
1,3,female,16.0,0,0,7.7333,Q,Third,woman,False,,Queenstown,yes,True,16.0,2.167143305297764
0,3,male,30.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,30.0,2.2027647577118348
0,3,male,,0,0,8.6625,S,Third,man,True,,Southampton,no,True,28.0,2.2682524139135403
0,3,male,,8,2,69.55,S,Third,man,True,,Southampton,no,False,28.0,4.256321678298823
0,3,male,44.0,0,1,16.1,S,Third,man,True,,Southampton,no,False,44.0,2.8390784635086144
1,2,female,40.0,0,0,15.75,S,Second,woman,False,,Southampton,yes,True,40.0,2.8183982582710754
0,3,male,26.0,0,0,7.775,S,Third,man,True,,Southampton,no,True,26.0,2.1719067693519296
0,3,male,17.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True,17.0,2.2682524139135403
0,3,male,1.0,4,1,39.6875,S,Third,child,False,,Southampton,no,False,1.0,3.705920919968788
1,3,male,9.0,0,2,20.525,S,Third,child,False,,Southampton,yes,False,9.0,3.0692150503137943
1,1,female,,0,1,55.0,S,First,woman,False,E,Southampton,yes,False,28.0,4.02535169073515
0,3,female,45.0,1,4,27.9,S,Third,woman,False,,Southampton,no,False,45.0,3.3638415951183864
0,1,male,,0,0,25.925,S,First,man,True,,Southampton,no,True,28.0,3.2930552230424524
0,3,male,28.0,0,0,56.4958,S,Third,man,True,,Southampton,no,True,28.0,4.051711901657239
0,1,male,61.0,0,0,33.5,S,First,man,True,B,Southampton,no,True,61.0,3.5409593240373143
0,3,male,4.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False,4.0,3.405355391810819
1,3,female,1.0,1,1,11.1333,S,Third,child,False,,Southampton,yes,False,1.0,2.4959537387180646
0,3,male,21.0,0,0,7.925,S,Third,man,True,,Southampton,no,True,21.0,2.188856327665703
0,1,male,56.0,0,0,30.6958,C,First,man,True,A,Cherbourg,no,True,56.0,3.4561841799918147
0,3,male,18.0,1,1,7.8542,S,Third,man,True,,Southampton,no,False,18.0,2.180891922715322
0,3,male,,3,1,25.4667,S,Third,man,True,,Southampton,no,False,28.0,3.275887339030031
0,1,female,50.0,0,0,28.7125,C,First,woman,False,C,Cherbourg,no,True,50.0,3.391567832686312
0,2,male,30.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,30.0,2.639057329615259
0,3,male,36.0,0,0,0.0,S,Third,man,True,,Southampton,no,True,36.0,0.0
0,3,female,,8,2,69.55,S,Third,woman,False,,Southampton,no,False,28.0,4.256321678298823
0,2,male,,0,0,15.05,C,Second,man,True,,Cherbourg,no,True,28.0,2.775708849576025
0,3,male,9.0,4,2,31.3875,S,Third,child,False,,Southampton,no,False,9.0,3.4777725458882283
1,2,male,1.0,2,1,39.0,S,Second,child,False,F,Southampton,yes,False,1.0,3.6888794541139363
1,3,female,4.0,0,2,22.025,S,Third,child,False,,Southampton,yes,False,4.0,3.1365805821413706
0,1,male,,0,0,50.0,S,First,man,True,A,Southampton,no,True,28.0,3.9318256327243257
1,3,female,,1,0,15.5,Q,Third,woman,False,,Queenstown,yes,False,28.0,2.803360380906535
1,1,male,45.0,0,0,26.55,S,First,man,True,,Southampton,yes,True,45.0,3.3160025355989236
0,3,male,40.0,1,1,15.5,Q,Third,man,True,,Queenstown,no,False,40.0,2.803360380906535
0,3,male,36.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,36.0,2.1855792552411137
1,2,female,32.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True,32.0,2.639057329615259
0,2,male,19.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,19.0,2.639057329615259
1,3,female,19.0,1,0,7.8542,S,Third,woman,False,,Southampton,yes,False,19.0,2.180891922715322
1,2,male,3.0,1,1,26.0,S,Second,child,False,F,Southampton,yes,False,3.0,3.295836866004329
1,1,female,44.0,0,0,27.7208,C,First,woman,False,B,Cherbourg,yes,True,44.0,3.357621598945279
1,1,female,58.0,0,0,146.5208,C,First,woman,False,B,Cherbourg,yes,True,58.0,4.993969182787072
0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,28.0,2.169053700369523
0,3,male,42.0,0,1,8.4042,S,Third,man,True,,Southampton,no,False,42.0,2.241156397997397
1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,28.0,2.169053700369523
0,2,female,24.0,0,0,13.0,S,Second,woman,False,,Southampton,no,True,24.0,2.639057329615259
0,3,male,28.0,0,0,9.5,S,Third,man,True,,Southampton,no,True,28.0,2.3513752571634776
0,3,male,,8,2,69.55,S,Third,man,True,,Southampton,no,False,28.0,4.256321678298823
0,3,male,34.0,0,0,6.4958,S,Third,man,True,,Southampton,no,True,34.0,2.0143428636837015
0,3,male,45.5,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,45.5,2.1071782966514356
1,3,male,18.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True,18.0,2.2027647577118348
0,3,female,2.0,0,1,10.4625,S,Third,child,False,G,Southampton,no,False,2.0,2.4390808375825834
0,3,male,32.0,1,0,15.85,S,Third,man,True,,Southampton,no,False,32.0,2.8243506567983707
1,3,male,26.0,0,0,18.7875,C,Third,man,True,,Cherbourg,yes,True,26.0,2.9850504252071306
1,3,female,16.0,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,16.0,2.169053700369523
1,1,male,40.0,0,0,31.0,C,First,man,True,A,Cherbourg,yes,True,40.0,3.4657359027997265
0,3,male,24.0,0,0,7.05,S,Third,man,True,,Southampton,no,True,24.0,2.085672091430472
1,2,female,35.0,0,0,21.0,S,Second,woman,False,,Southampton,yes,True,35.0,3.091042453358316
0,3,male,22.0,0,0,7.25,S,Third,man,True,,Southampton,no,True,22.0,2.1102132003465894
0,2,male,30.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,30.0,2.639057329615259
0,3,male,,1,0,7.75,Q,Third,man,True,,Queenstown,no,False,28.0,2.169053700369523
1,1,female,31.0,1,0,113.275,C,First,woman,False,D,Cherbourg,yes,False,31.0,4.738607824217808
1,3,female,27.0,0,0,7.925,S,Third,woman,False,,Southampton,yes,True,27.0,2.188856327665703
0,2,male,42.0,1,0,27.0,S,Second,man,True,,Southampton,no,False,42.0,3.332204510175204
1,1,female,32.0,0,0,76.2917,C,First,woman,False,D,Cherbourg,yes,True,32.0,4.347586575960343
0,2,male,30.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,30.0,2.4423470353692043
1,3,male,16.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True,16.0,2.2027647577118348
0,2,male,27.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,27.0,2.639057329615259
0,3,male,51.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,51.0,2.2027647577118348
0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,28.0,2.1855792552411137
1,1,male,38.0,1,0,90.0,S,First,man,True,C,Southampton,yes,False,38.0,4.51085950651685
0,3,male,22.0,0,0,9.35,S,Third,man,True,,Southampton,no,True,22.0,2.336986519711378
1,2,male,19.0,0,0,10.5,S,Second,man,True,,Southampton,yes,True,19.0,2.4423470353692043
0,3,male,20.5,0,0,7.25,S,Third,man,True,,Southampton,no,True,20.5,2.1102132003465894
0,2,male,18.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,18.0,2.639057329615259
0,3,female,,3,1,25.4667,S,Third,woman,False,,Southampton,no,False,28.0,3.275887339030031
1,1,female,35.0,1,0,83.475,S,First,woman,False,C,Southampton,yes,False,35.0,4.436455632600354
0,3,male,29.0,0,0,7.775,S,Third,man,True,,Southampton,no,True,29.0,2.1719067693519296
0,2,male,59.0,0,0,13.5,S,Second,man,True,,Southampton,no,True,59.0,2.6741486494265287
1,3,female,5.0,4,2,31.3875,S,Third,child,False,,Southampton,yes,False,5.0,3.4777725458882283
0,2,male,24.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,24.0,2.4423470353692043
0,3,female,,0,0,7.55,S,Third,woman,False,,Southampton,no,True,28.0,2.145931282948669
0,2,male,44.0,1,0,26.0,S,Second,man,True,,Southampton,no,False,44.0,3.295836866004329
1,2,female,8.0,0,2,26.25,S,Second,child,False,,Southampton,yes,False,8.0,3.305053521109253
0,2,male,19.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,19.0,2.4423470353692043
0,2,male,33.0,0,0,12.275,S,Second,man,True,,Southampton,no,True,33.0,2.5858825671280026
0,3,female,,1,0,14.4542,C,Third,woman,False,,Cherbourg,no,False,28.0,2.737880811060884
1,3,female,,1,0,15.5,Q,Third,woman,False,,Queenstown,yes,False,28.0,2.803360380906535
0,2,male,29.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,29.0,2.4423470353692043
0,3,male,22.0,0,0,7.125,S,Third,man,True,,Southampton,no,True,22.0,2.094945728215801
0,3,male,30.0,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,30.0,2.1071782966514356
0,1,male,44.0,2,0,90.0,Q,First,man,True,C,Queenstown,no,False,44.0,4.51085950651685
0,3,female,25.0,0,0,7.775,S,Third,woman,False,,Southampton,no,True,25.0,2.1719067693519296
1,2,female,24.0,0,2,14.5,S,Second,woman,False,,Southampton,yes,False,24.0,2.740840023925201
1,1,male,37.0,1,1,52.5542,S,First,man,True,D,Southampton,yes,False,37.0,3.9806942251907276
0,2,male,54.0,1,0,26.0,S,Second,man,True,,Southampton,no,False,54.0,3.295836866004329
0,3,male,,0,0,7.25,S,Third,man,True,,Southampton,no,True,28.0,2.1102132003465894
0,3,female,29.0,1,1,10.4625,S,Third,woman,False,G,Southampton,no,False,29.0,2.4390808375825834
0,1,male,62.0,0,0,26.55,S,First,man,True,C,Southampton,no,True,62.0,3.3160025355989236
0,3,male,30.0,1,0,16.1,S,Third,man,True,,Southampton,no,False,30.0,2.8390784635086144
0,3,female,41.0,0,2,20.2125,S,Third,woman,False,,Southampton,no,False,41.0,3.0545906305603445
1,3,female,29.0,0,2,15.2458,C,Third,woman,False,,Cherbourg,yes,False,29.0,2.7878344138303452
1,1,female,,0,0,79.2,C,First,woman,False,,Cherbourg,yes,True,28.0,4.384523514872469
1,1,female,30.0,0,0,86.5,S,First,woman,False,B,Southampton,yes,True,30.0,4.471638793363569
1,1,female,35.0,0,0,512.3292,C,First,woman,False,,Cherbourg,yes,True,35.0,6.240917354759096
1,2,female,50.0,0,1,26.0,S,Second,woman,False,,Southampton,yes,False,50.0,3.295836866004329
0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,28.0,2.169053700369523
1,3,male,3.0,4,2,31.3875,S,Third,child,False,,Southampton,yes,False,3.0,3.4777725458882283
0,1,male,52.0,1,1,79.65,S,First,man,True,E,Southampton,no,False,52.0,4.390118804571218
0,1,male,40.0,0,0,0.0,S,First,man,True,B,Southampton,no,True,40.0,0.0
0,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,no,True,28.0,2.169053700369523
0,2,male,36.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,36.0,2.4423470353692043
0,3,male,16.0,4,1,39.6875,S,Third,man,True,,Southampton,no,False,16.0,3.705920919968788
1,3,male,25.0,1,0,7.775,S,Third,man,True,,Southampton,yes,False,25.0,2.1719067693519296
1,1,female,58.0,0,1,153.4625,S,First,woman,False,C,Southampton,yes,False,58.0,5.039951348430309
1,1,female,35.0,0,0,135.6333,S,First,woman,False,C,Southampton,yes,True,35.0,4.91730069488021
0,1,male,,0,0,31.0,S,First,man,True,,Southampton,no,True,28.0,3.4657359027997265
1,3,male,25.0,0,0,0.0,S,Third,man,True,,Southampton,yes,True,25.0,0.0
1,2,female,41.0,0,1,19.5,S,Second,woman,False,,Southampton,yes,False,41.0,3.0204248861443626
0,1,male,37.0,0,1,29.7,C,First,man,True,C,Cherbourg,no,False,37.0,3.4242626545931514
1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,28.0,2.169053700369523
